X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
MHZ_CODPRO;001;SB1->B1_DESC;MHZ_DESPRO;P;S;MHZ;1;xFilial("SB1")+M->MHZ_CODPRO;;U
MHZ_CODANP;001;SZO->ZO_DESCRI;MHZ_DESANP;P;S;SZO;1;xFilial("SZO")+M->MHZ_CODANP;;U
MIC_CODTAN;001;MHZ->MHZ_DESPRO;MIC_XDSPRO;P;S;MHZ;1;xFilial("MHZ")+M->MIC_CODTAN;;U
MID_CODBIC;001;MIC->MIC_CODTAN;MID_CODTAN;P;S;MIC;1;xFilial("MIC")+M->MID_CODBIC;;U
MID_CODBIC;002;MIC->MIC_CODBOM;MID_CODBOM;P;N;;0;;;U
MID_CODBIC;003;MIC->MIC_NLOGIC;MID_NLOGIC;P;N;;0;;;U
MID_CODBIC;004;MIC->MIC_LADO;MID_LADBOM;P;N;;0;;;U
MID_CODBIC;005;MHZ->MHZ_CODPRO;MID_XPROD;P;S;MHZ;1;xFilial("MHZ")+MIC->MIC_CODTAN;;U
MID_CODBIC;006;MHZ->MHZ_DESPRO;MID_XDESPR;P;N;;0;;;U
MID_CODBIC;007;MIC->MIC_XCONCE;MID_XCONCE;P;N;;0;;;U
MID_CODBIC;008;U_URetPrec(FWFldGet("MID_XPROD"),"",.F.);MID_PREPLI;P;N;;0;;;U
MID_CODBIC;009;MHZ->MHZ_CODANP;MID_CODANP;P;N;;0;;;U
MID_CODBIC;010;MHZ->MHZ_PBIO;MID_PBIO;P;N;;0;;;U
MID_CODBIC;011;MHZ->MHZ_INDIMP;MID_INDIMP;P;N;;0;;;U
MID_CODBIC;012;MHZ->MHZ_UFORIG;MID_UFORIG;P;N;;0;;;U
MID_CODBIC;013;MHZ->MHZ_PORIG;MID_PORIG;P;N;;0;;;U
MID_LITABA;001;A410Arred(M->MID_LITABA * FWFldGet("MID_PREPLI"),"L2_VLRITEM");MID_TOTAPA;P;N;;0;;;U
MID_LITABA;002;U_RetUltEncer(FWFldGet("MID_CODBIC"),"XXX")  + M->MID_LITABA;MID_ENCFIN;P;N;;0;;;U
MID_LITABA;003;FWFldGet("MID_ENCFIN") - M->MID_LITABA;MID_ENCINI;P;N;;0;;;U
MID_ENCINI;001;M->MID_ENCINI + FWFldGet("MID_LITABA");MID_ENCFIN;P;N;;0;;;U
MID_ENCFIN;001;M->MID_ENCFIN - FWFldGet("MID_LITABA");MID_ENCINI;P;N;;0;;;U
TQK_POSTO;001;TQF->TQF_NREDUZ;TQK_NOME;P;S;TQF;1;xFilial("TQF")+FwFldGet('TQK_POSTO')+FwFldGet('TQK_LOJA');;S
TQK_LOJA;001;TQF->TQF_NREDUZ;TQK_NOME;P;S;TQF;1;XFILIAL("TQF")+M->TQK_POSTO+M->TQK_LOJA;;U
TQK_TQFISC;001;ZE0->ZE0_GRPTQ;TQK_TANQUE;P;S;ZE0;1;XFILIAL("ZE0")+M->TQK_TQFISC;;U
TQK_TQFISC;002;MHZ->MHZ_CODPRO;TQK_PRODUT;P;S;MHZ;1;XFILIAL("MHZ")+M->TQK_TANQUE;;U
TQK_TQFISC;003;SUBSTR(SB1->B1_DESC,1,TamSX3("TQK_DESCPR")[1]);TQK_DESCPR;P;S;SB1;1;XFILIAL("SB1")+MHZ->MHZ_CODPRO;;U
TQK_TQFISC;004;ZE0->ZE0_DESCR;TQK_DTQFIS;P;N;;0;;;U
TQK_QTD;001;M->TQK_CAPVED - M->TQK_QTDEST;TQK_DIFRXV;P;N;;0;;;U
TQK_QTDEST;001;ZE0->ZE0_CAPAC - M->TQK_QTDEST;TQK_CAPAC;P;S;ZE0;1;xFilial("ZE0")+M->TQK_TQFISC;;U
TQK_CODFUN;001;SubStr(SRA->RA_NOME,1,TamSx3("TQK_NOMFUN")[1]);TQK_NOMFUN;P;S;SRA;1;xFILIAL("SRA")+M->TQK_CODFUN;;S
TQK_CAPVED;001;M->TQK_CAPVED - M->TQK_QTDEST;TQK_DIFRXV;P;N;;0;;;U
CD6_CODANP;001;SZO->ZO_DESCRI;CD6_DESANP;P;S;SZO;1;xFilial("SZO")+M->CD6_CODANP;;U
A1_XLC;001;U_TRETE32A();A1_XSLDLC;P;N;;0;;;U
A1_XLIMSQ;001;U_TRETE32A();A1_XSLDSQ;P;N;;0;;;U
ACY_XLC;001;U_TRETE32B();ACY_XSLDLC;P;N;;0;;;U
ACY_XLIMSQ;001;U_TRETE32B();ACY_XSLDSQ;P;N;;0;;;U